,0,1,0,0,0,1,2,3,4
0,367601850.0,0.97,1240.0,茂生農經,['000'],豪展4735,其祥-KY1258,集雅社2937,森田8410
1,368197910.0,1.13,1258.0,其祥-KY,['000'],豪展4735,茂生農經1240,天正國際6654,集雅社2937
2,323895000.0,1.99,1259.0,安心,"['000', '詩肯', '000']","['000', '000', '立端']","['寶島科', '000', '000']",進階3118,勤凱科技4760
3,370643670.0,4.87,1264.0,德麥,['000'],臺龍6246,大峽谷-KY5281,欣厚-KY4924,天正國際6654
4,427237300.0,3.83,1268.0,漢來美食,漢來美食1268,微端3285,鈺太6679,馬光-KY4139,廣錠6441
5,770984190.0,0.5,1336.0,台翰,['000'],福裕4513,合富-KY4745,力致3483,湧德3689
6,504165160.0,4.5,1565.0,精華,['000'],佳穎3310,大詠城4538,富堡8929,銘旺實4432
7,1214474410.0,1.11,1569.0,濱川,['000'],精星8183,大汽電8931,南良5450,精剛1584
8,515008390.0,0.54,1570.0,力肯,['000'],霹靂8450,光菱8032,能率網通8071,安瑞-KY3664
9,502302420.0,3.75,1580.0,新麥,新麥1580,紅木-KY8426,海灣3252,亞矽6113,精華1565
10,1224705330.0,0.24,1584.0,精剛,['000'],南良5450,大汽電8931,信音6126,濱川1569
11,858419540.0,0.13,1586.0,和勤,"['000', '大恭', '000', '000']","['000', '000', '000', '000']","['000', '000', '000', '000']","['000', '000', '000', '000']",大城地產6171
12,331648070.0,0.2,1591.0,駿吉-KY,"['000', '海德威', '000', '000']","['000', '000', '000', '夠麻吉']","['風青', '000', '普誠', '000']","['000', '000', '000', '000']",泓瀚4741
13,352275330.0,1.29,1593.0,祺驊,"['000', '大地-KY']","['000', '000']",瑞穎8083,慶生6210,美而快5321
14,469261340.0,1.22,1595.0,川寶,['000'],風青2061,迅德6292,雷笛克光學5230,興采4433
15,745287640.0,0.96,1599.0,宏佳騰,['000'],久裕4173,磐儀3594,鑫創3259,大立4716
16,815500000.0,4.81,1742.0,台蠟,台蠟1742,青鋼8930,晟楠3631,譜瑞-KY4966,雙邦6506
17,400595500.0,0.05,1777.0,生泰,"9999    000
4102     永日
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
6240     松崗
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
5340     建榮
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","3310     佳穎
9999    000
4433     興采
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
18,474076050.0,-0.7,1781.0,合世,合世1781,誠品生活2926,天揚5345,尚茂8291,鴻翊3521
19,496269240.0,-0.05,1784.0,訊聯,"9999    000
4543     萬在
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","4530     宏易
9999    000
9999    000
8059     凱碩
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
5345     天揚
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
8937     合騏
Name: 0, dtype: string"
20,5919312430.0,0.55,1785.0,光洋科,"['000', '國統']","['000', '000']",中美晶5483,合晶6182,晟德4123
21,400288040.0,2.34,1788.0,杏昌,杏昌1788,聯一光電3441,全譜6228,生泰1777,泰茂2230
22,414597930.0,0.44,1796.0,金穎生技,"9999    000
3615     安可
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
8440     綠電
Name: 0, dtype: string","9999      000
9999      000
9999      000
4139    馬光-KY
9999      000
6190      萬泰科
9999      000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string","9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
9999    000
Name: 0, dtype: string"
23,1633796780.0,-0.29,1799.0,易威,"['000', '驊訊']","['000', '000']",太欣5302,久正6167,環泰4207
24,466355100.0,-0.35,1813.0,寶利徠,"['000', '耀億', '000', '000']","['000', '000', '000', '000']","['000', '000', '000', '000']","['晶宇', '000', '鉅陞', '000']",元勝4419
25,4284835110.0,0.4,1815.0,富喬,"['000', '中連', '000']","['000', '000', '邑錡']","['博磊', '000', '000']",環球晶6488,元隆6287
26,3500000000.0,1.38,2035.0,唐榮公司,['000'],亞昕5213,茂迪6244,宏遠證6015,漢磊3707
27,469287580.0,0.2,2061.0,風青,"['000', '海德威', '000', '000']","['000', '000', '000', '夠麻吉']","['風青', '000', '普誠', '000']","['000', '000', '000', '000']",興采4433
