CNYes2 天外資揮刀砍台郡、貿聯-KY、聯茂 降評同步下砍目標價雖然軟式印刷電路板(FPC)、連接器、銅箔基板(CCL) 市場持穩成長，但美系外資示警，台郡（6269）、貿聯-KY（3665）、聯茂（6213）未來市佔率提升有限，價格向上動能恐緩，恐影響毛利率，將台郡從中立評等降至賣出、貿聯-KY、聯茂從買進降至 ,2021-07-13 13:05:32.077951
Money DJ5 天外資觀點：美系外資調降台郡、貿聯-KY、聯茂評等及目標價，台郡砍至賣出美系外資在最新出爐報告中一口氣調降台郡 (6269)、貿聯-KY (3665)、聯茂 ,2021-07-13 13:05:32.078361
tw5 天台郡:公告本公司第十二次買回股份期間屆滿之相關資料2.原預定買回之期間:110/05/06~110/07/05 3.原預定買回之數量(股):15,000,000 4.原預定買回區間價格(元):95.00~130.00 5.本次實際買回期間:110/05/06~110/06/23 ,2021-07-13 13:05:32.078943
CNYes7 天內資按讚 台郡、聯強權證熱後疫情時期商機爆發，新概念股接連出列，投顧法人看好，聯強（2347）強化商用產品比重，後市展望樂觀；台郡（6269）儘管上半年營運壓力較大，但下半年獲利率可望好轉，因而給予「買進」投資評等。 大型研究機構指出，蘋果每年4月與供應商洽談供貨比重與價格，7月開始供貨，蘋果的PCB供應商已針對即將推出的新iPhone重新報價，預計多數料號的獲利率可望回升到接近正常的水準。 蘋果下半年新iPhone提高支 ,2021-07-13 13:05:32.080322
工商時報5 天看好毛利率恢復成長與LCP潛力，美系外資調高台郡目標價至175元美系外資表示，儘管台郡第二季毛利率具有挑戰性，不過轉機即將出現，美系外資看好台郡專注於LCP (5G連接的關鍵材料)的新工廠下半年為增產做準備，將帶動下半年營收和毛利率大幅提升。同時看好台郡明年在LCP將取得更多型號勝出，LCP內容持續成長，加上LCP未來在其他應用的機會將更多，這些應用將使用比目前的FPC有更高的電路密度。這些非常高密度的LCP可能需要額外的技術 (需要大量投資)，將會提供極高的 ,2021-07-13 13:05:32.081876
HiNet18 天© 2021 Microsoft隱私權和 Cookie法律聲明廣告關於我們的廣告說明意見反應




,2021-07-13 13:05:32.081990
