n Business WeeklyApple D,2021-07-15 17:48:45.072871
ily台郡:本公司將於07月29日召開2021年第2季營運成果線上法人說明會2.召開法人說明會之時間：14 時 30 分 3.召開法人說明會之地點：採電話會議方式進行 4.法人說明會擇要訊息：2021年第2季營運成果 5.其他應敘明事項：法說會相關訊息可至本公司官網查閱 ,2021-07-15 17:48:45.073446
CNYes23 小時台郡訂7/29召開線上法說會公開資訊觀測站重大訊息公告 (6269)台郡本公司將於07月29日召開2021年第2季營運成果線上法人說明會符合條款第四條第XX款：12事實發生日：110/07/29 1.召開法人說明會之日期：110/07/292.召開法人說明會之時間：14 時 ,2021-07-15 17:48:45.074069
中时电子报6 小時台郡6月營收22.61億元年增7.36% 1—6月達141.82億元台郡(6269-TW)2021年 6月營收資料(單位:千元) ,2021-07-15 17:48:45.074348
CNYes4 天從「指標K線」判讀 台股第三季行情墊高A15晶片受惠的台積電與精材，組裝的鴻海，AiP天線模組的穩懋、宏捷科，AiP封裝PCB基板的景碩、欣興及軟板的台郡，鏡頭模組是否有升級的機會 ,2021-07-15 17:48:45.074642
1 小時航運大漲台積電助攻 台股收18034.19點創新高台股今天在電子、航運兩大類股助威下，指數開高走高，尾盤台積電神龍擺尾，終場大漲188.44點，一舉突破前波高點，收在18034.19點，刷新歷史新高紀錄。 美國聯邦準備理事會（Fed）主席鮑爾（Jerome ,2021-07-15 17:48:45.075926
AAAAA 小時美系外資調降台郡、貿聯-KY、聯茂評等及目標價，台郡砍至賣出【財訊快報記者劉居全報導】美系外資在最新出爐報告中一口氣調降台郡( 6269 )、貿聯-ky( 3665 )、聯茂( 6213 )等3家評等及目標價，其中台郡評等由原先 ,2021-07-15 17:48:45.076373
tw7 天航運大漲、台積電拉尾盤，台股收18034.19點創新高台股今天在電子、航運兩大類股助威下，指數開高走高，尾盤台積電神龍擺尾，終場大漲188.44點，一舉突破前波高點，收在18034.19點，刷新歷史新高紀錄。美國聯邦準備理事會（Fed）主席鮑爾（JeromePowell）對於通膨的保證言論，平衡了投資人 ,2021-07-15 17:48:45.077099
n Business Weekly1 小時外資揮刀砍台郡、貿聯-KY、聯茂 降評同步下砍目標價雖然軟式印刷電路板(FPC)、連接器、銅箔基板(CCL) 市場持穩成長，但美系外資示警，台郡（6269）、貿聯-KY（3665）、聯茂（6213）未來市佔率提升有限，價格向上動能恐緩，恐影響毛利率，將台郡從中立評等降至賣出、貿聯-KY、聯茂從買進降至 ,2021-07-15 17:48:45.077960
ily7 天© 2021 Microsoft隱私權和 Cookie法律聲明廣告關於我們的廣告說明意見反應


,2021-07-15 17:48:45.078068
